Subject	Item	IV1	IV2	Response	Freq	RT
S1	t_01	A	2	1	0.24	1100
S1	t_02	A	2	1	5.22	983
S1	t_03	A	2	1	5.1	1108
S1	t_04	A	2	1	5.77	984
S1	t_05	A	2	1	2.37	1340
S1	t_06	A	2	1	5.8	1192
S1	t_07	A	2	1	2.31	1285
S1	t_08	A	2	1	8.42	1208
S2	t_01	A	2	1	1.71	1151
S2	t_02	A	2	1	3.25	882
S2	t_03	A	2	1	8.45	1014
S2	t_04	A	2	1	0.79	928
S2	t_05	A	2	1	3.35	1236
S2	t_06	A	2	1	8.53	1009
S2	t_07	A	2	1	3.56	986
S2	t_08	A	2	1	6.04	1197
S3	t_01	A	2	1	5.76	569
S3	t_02	A	2	1	1.08	153
S3	t_03	A	2	1	3	346
S3	t_04	A	2	1	2.82	350
S3	t_05	A	2	1	0.93	507
S3	t_06	A	2	1	6.15	379
S3	t_07	A	2	1	3.94	352
S3	t_08	A	2	1	9.7	276
S4	t_01	A	2	1	9.65	227
S4	t_02	A	2	1	8.06	147
S4	t_03	A	2	1	9.3	232
S4	t_04	A	2	1	8.52	235
S4	t_05	A	2	1	0.37	550
S4	t_06	A	2	1	9.96	278
S4	t_07	A	2	1	6.58	460
S4	t_08	A	2	1	4.54	563
S5	t_01	A	2	0	7.33	963
S5	t_02	A	2	1	5.89	805
S5	t_03	A	2	1	3.41	600
S5	t_04	A	2	1	8.05	703
S5	t_05	A	2	1	0.97	764
S5	t_06	A	2	1	9.44	604
S5	t_07	A	2	1	8.55	591
S5	t_08	A	2	1	4.64	598
S6	t_01	A	2	1	0.97	610
S6	t_02	A	2	0	4.55	835
S6	t_03	A	2	0	5.01	800
S6	t_04	A	2	0	0.89	971
S6	t_05	A	2	1	3.14	501
S6	t_06	A	2	1	8.96	525
S6	t_07	A	2	1	1.63	744
S6	t_08	A	2	1	0.05	1438
S7	t_01	A	2	1	8.31	1201
S7	t_02	A	2	1	8.73	1121
S7	t_03	A	2	1	2.59	1142
S7	t_04	A	2	0	0.88	976
S7	t_05	A	2	1	6.18	1191
S7	t_06	A	2	1	0.85	1228
S7	t_07	A	2	1	0.35	1194
S7	t_08	A	2	1	6.44	1089
S8	t_01	A	2	0	6.03	1149
S8	t_02	A	2	1	6.61	1106
S8	t_03	A	2	1	0.1	1014
S8	t_04	A	2	1	0.65	1249
S8	t_05	A	2	1	9.59	1225
S8	t_06	A	2	1	4.65	979
S8	t_07	A	2	1	2.66	1012
S8	t_08	A	2	1	3.31	1091
S9	t_01	A	2	1	7.16	1356
S9	t_02	A	2	1	1.3	1239
S9	t_03	A	2	0	5.05	992
S9	t_04	A	2	1	0.45	1209
S9	t_05	A	2	1	5.79	1145
S9	t_06	A	2	1	1.89	979
S9	t_07	A	2	1	4.08	1317
S9	t_08	A	2	1	4.96	1113
S10	t_01	A	2	1	1.38	1353
S10	t_02	A	2	1	7.19	1006
S10	t_03	A	2	1	8.16	1388
S10	t_04	A	2	1	1.9	1390
S10	t_05	A	2	1	6.85	1371
S10	t_06	A	2	1	8.79	1113
S10	t_07	A	2	1	4.87	967
S10	t_08	A	2	1	2.86	1373
S11	t_01	A	2	0	2.47	1369
S11	t_02	A	2	1	9.6	1084
S11	t_03	A	2	1	7.74	1325
S11	t_04	A	2	1	0.27	1442
S11	t_05	A	2	1	2.8	1214
S11	t_06	A	2	1	6.88	1228
S11	t_07	A	2	1	1.64	1202
S11	t_08	A	2	1	5.47	1006
S12	t_01	A	2	1	6.78	1364
S12	t_02	A	2	1	7.5	1343
S12	t_03	A	2	1	1.82	1376
S12	t_04	A	2	1	2.27	1241
S12	t_05	A	2	1	4.06	1115
S12	t_06	A	2	1	6.82	1029
