lat	long	region	group
41.6	-80.9	ohio	B
42.1	-83.9	ohio	D
39.7	-84.2	ohio	A
40.6	-82.4	ohio	B
39.7	-82.3	ohio	D
41.9	-82.5	ohio	A
41.4	-81.7	ohio	A
38.6	-84.1	ohio	A
42.3	-82.7	ohio	A
39.5	-82.2	ohio	B
38.8	-83.8	ohio	B
40.1	-81.0	ohio	B
39.7	-84.6	ohio	B
40.5	-81.5	ohio	B
38.0	-82.8	ohio	A
40.9	-80.2	ohio	A
38.6	-82.8	ohio	A
39.8	-84.8	ohio	B
41.6	-81.8	ohio	A
40.7	-82.6	ohio	A
39.6	-84.7	ohio	C
40.7	-81.0	ohio	B
41.8	-82.5	ohio	A
41.2	-83.5	ohio	D
40.2	-84.0	ohio	A
40.5	-82.4	ohio	A
40.3	-85.4	ohio	C
38.3	-83.3	ohio	B
38.5	-81.6	ohio	B
41.0	-81.1	ohio	B
40.7	-83.4	ohio	B
40.8	-83.1	ohio	B
40.6	-81.5	ohio	B
39.4	-81.3	ohio	A
40.4	-82.8	ohio	D
38.9	-83.6	ohio	A
40.6	-84.2	ohio	B
39.8	-81.1	ohio	C
41.8	-81.5	ohio	D
39.4	-81.9	ohio	B
41.1	-83.3	ohio	C
40.5	-84.9	ohio	C
38.6	-83.6	ohio	D
39.3	-80.5	ohio	B
39.8	-84.5	ohio	B
40.8	-81.6	ohio	B
39.9	-82.5	ohio	B
39.6	-84.7	ohio	C
41.6	-81.2	ohio	A
39.9	-80.2	ohio	D
41.8	-82.7	ohio	D
39.9	-83.5	ohio	B
40.6	-81.3	ohio	C
40.7	-83.7	ohio	A
39.3	-83.0	ohio	C
40.0	-82.4	ohio	C
39.5	-84.4	ohio	D
38.4	-82.2	ohio	B
40.9	-84.2	ohio	D
38.5	-82.6	ohio	D
39.8	-82.8	ohio	A
41.0	-83.9	ohio	C
41.1	-81.9	ohio	D
39.2	-80.8	ohio	A
40.2	-81.9	ohio	C
40.3	-82.9	ohio	A
39.2	-81.8	ohio	D
41.0	-81.5	ohio	B
39.0	-81.6	ohio	C
42.0	-81.7	ohio	A
42.0	-81.1	ohio	A
38.7	-82.0	ohio	A
39.4	-80.1	ohio	A
41.3	-82.9	ohio	B
40.3	-80.2	ohio	C
40.8	-81.9	ohio	B
41.2	-83.2	ohio	B
41.7	-83.1	ohio	B
38.8	-80.9	ohio	B
39.9	-83.1	ohio	A
39.2	-83.7	ohio	B
40.9	-84.6	ohio	D
39.8	-80.1	ohio	B
42.1	-81.7	ohio	B
41.6	-84.1	ohio	B
39.3	-80.4	ohio	A
41.9	-81.8	ohio	B
39.7	-82.7	ohio	C
41.2	-84.4	ohio	C
42.1	-81.7	ohio	C
40.7	-80.4	ohio	C
39.4	-83.1	ohio	B
38.4	-83.8	ohio	B
41.2	-81.1	ohio	B
40.0	-81.3	ohio	B
41.2	-81.4	ohio	A
38.5	-82.5	ohio	C
39.1	-80.5	ohio	D
40.1	-80.6	ohio	B
39.0	-84.1	ohio	A
40.7	-79.8	pennsylvania	B
40.4	-80.3	pennsylvania	B
40.6	-80.3	pennsylvania	B
40.1	-80.1	pennsylvania	B
40.7	-80.2	pennsylvania	B
40.7	-80.3	pennsylvania	B
40.3	-79.6	pennsylvania	B
40.5	-80.3	pennsylvania	B
40.5	-79.5	pennsylvania	B
40.2	-79.7	pennsylvania	B
40.3	-79.6	pennsylvania	B
40.2	-79.6	pennsylvania	B
40.7	-80.3	pennsylvania	B
40.5	-80.4	pennsylvania	B
40.3	-79.9	pennsylvania	B
40.7	-80.0	pennsylvania	B
40.2	-80.3	pennsylvania	B
40.8	-80.1	pennsylvania	B
40.4	-80.4	pennsylvania	B
40.4	-79.8	pennsylvania	B
40.5	-80.1	pennsylvania	B
40.3	-80.4	pennsylvania	A
40.4	-80.4	pennsylvania	A
40.7	-80.0	pennsylvania	A
40.5	-80.2	pennsylvania	A
40.4	-79.9	pennsylvania	A
40.7	-80.1	pennsylvania	C
40.4	-79.7	pennsylvania	D
40.3	-79.7	pennsylvania	D
40.4	-79.8	pennsylvania	D
39.2	-92.4	missouri	D
38.1	-90.7	missouri	D
38.5	-93.2	missouri	D
37.3	-91.0	missouri	C
37.0	-91.4	missouri	C
39.0	-92.3	missouri	B
38.4	-92.0	missouri	C
39.3	-90.8	missouri	C
38.9	-94.8	missouri	A
39.6	-92.9	missouri	C
39.1	-92.4	missouri	A
39.3	-94.9	missouri	C
38.0	-92.8	missouri	B
37.9	-93.8	missouri	C
37.7	-94.6	missouri	C
39.5	-92.3	missouri	A
40.0	-94.0	missouri	B
38.1	-91.3	missouri	D
38.3	-94.7	missouri	C
37.0	-91.7	missouri	D
45.5	-114.1	idaho	B
45.5	-114.1	idaho	C
45.5	-114.1	idaho	A
45.5	-114.2	idaho	C
45.5	-114.1	idaho	B
36.6	-85.8	kentucky	D
36.6	-84.8	kentucky	D
36.8	-85.2	kentucky	B
37.9	-87.2	kentucky	C
37.7	-84.0	kentucky	B
38.7	-84.6	kentucky	C
37.6	-86.4	kentucky	C
36.7	-86.3	kentucky	A
38.6	-86.2	kentucky	C
37.6	-87.2	kentucky	C
38.4	-85.2	kentucky	A
37.1	-87.2	kentucky	A
36.8	-85.9	tennessee	A
35.2	-85.2	tennessee	D
35.1	-86.7	tennessee	A
37.0	-85.4	tennessee	B
35.0	-87.0	tennessee	B
35.2	-85.2	tennessee	C
37.0	-87.0	tennessee	C
36.0	-87.5	tennessee	C
35.2	-87.3	tennessee	D
36.5	-86.6	tennessee	C
36.4	-85.7	tennessee	D
36.7	-87.3	tennessee	D
35.3	-84.8	tennessee	D
35.8	-84.3	tennessee	C
35.0	-86.2	tennessee	D
35.2	-86.1	tennessee	C
36.0	-85.8	tennessee	C
36.3	-85.7	tennessee	C
35.2	-85.5	tennessee	B
36.4	-87.3	tennessee	B
34.5	-86.2	tennessee	D
34.3	-82.3	georgia	D
32.5	-84.4	georgia	B
32.8	-84.8	georgia	D
33.9	-82.6	georgia	C
32.4	-83.0	georgia	C
32.7	-82.5	georgia	D
33.3	-84.7	georgia	D
31.6	-83.6	georgia	D
31.2	-83.5	georgia	D
33.4	-85.1	georgia	C
33.4	-82.8	georgia	D
31.0	-83.2	georgia	D
33.4	-81.7	georgia	C
31.7	-83.8	georgia	C
32.5	-83.5	georgia	C
33.2	-81.5	georgia	C
34.1	-84.3	georgia	D
32.9	-82.3	georgia	D
33.4	-83.4	georgia	B
33.9	-84.1	georgia	B
31.3	-82.3	georgia	B
32.3	-81.9	georgia	B
33.2	-82.2	georgia	B
32.9	-83.0	georgia	C
32.3	-81.7	georgia	D
31.2	-82.8	georgia	C
31.6	-83.3	georgia	D
31.9	-84.8	georgia	D
33.1	-82.9	georgia	C
31.5	-83.8	georgia	D
34.3	-84.1	georgia	D
31.8	-84.8	georgia	C
33.2	-83.0	georgia	B
31.6	-83.1	georgia	C
32.4	-84.6	georgia	D
34.2	-83.4	georgia	C
31.5	-83.4	georgia	B
32.7	-81.4	georgia	C
33.0	-83.0	georgia	C
32.9	-83.7	georgia	B
34.1	-82.4	georgia	D
33.1	-82.7	georgia	C
31.8	-81.5	georgia	C
33.1	-81.4	georgia	C
34.4	-83.8	georgia	C
41.9	-76.6	new york	A
42.2	-76.9	new york	A
43.0	-76.1	new york	A
41.9	-76.2	new york	A
42.4	-75.8	new york	A
42.7	-77.0	new york	A
43.0	-76.6	new york	A
42.6	-76.8	new york	A
42.8	-76.2	new york	A
41.9	-75.8	new york	A
42.2	-77.3	new york	B
42.4	-76.3	new york	A
43.1	-76.0	new york	A
42.3	-76.4	new york	A
42.6	-76.6	new york	B
42.0	-75.8	new york	A
42.6	-76.0	new york	A
43.0	-76.2	new york	A
42.5	-77.1	new york	A
41.9	-76.5	new york	A
42.0	-75.4	pennsylvania	A
40.9	-75.2	pennsylvania	A
41.6	-75.2	pennsylvania	A
41.0	-76.0	pennsylvania	A
41.6	-75.7	pennsylvania	A
41.2	-75.7	pennsylvania	A
41.7	-76.0	pennsylvania	A
41.7	-75.8	pennsylvania	B
40.9	-76.1	pennsylvania	A
40.9	-76.3	pennsylvania	A
41.5	-75.8	pennsylvania	B
41.0	-75.8	pennsylvania	A
41.2	-76.4	pennsylvania	A
41.1	-75.9	pennsylvania	A
41.3	-76.5	pennsylvania	A
45.1	-122.5	oregon	E
46.2	-123.3	oregon	E
46.1	-122.3	oregon	E
45.4	-122.3	oregon	E
45.6	-123.2	oregon	E
45.5	-121.7	oregon	E
46.2	-122.7	oregon	E
44.9	-122.9	oregon	E
45.7	-123.2	oregon	E
45.7	-123.3	oregon	A
45.2	-122.4	oregon	A
45.1	-123.7	oregon	A
